องค์ประกอบ,หน่วย, หินใหญ่ (ลบ.ม.) ,, หินย่อย (ลบ.ม.) ,, ทรายหยาบ (ลบ.ม.) ,, ปูนซีเมนต์ (ถุง) ,, หินคลุก (ลบ.ม.) ,
งาน,, อัตรา , ปริมาณที่ใช้ , อัตรา , ปริมาณที่ใช้ , อัตรา , ปริมาณที่ใช้ , อัตรา , ปริมาณที่ใช้ , อัตรา , ปริมาณที่ใช้ 
คอนกรีตโครงสร้าง,, -   , -   , 0.92 , -   , 0.71 , -   , 6.84 , -   , -   , -   
คอนกรีตปนหินใหญ่,, 0.61 , -   , 0.60 , -   , 0.62 , -   , 5.08 , -   , -   , -   
คอนกรีตดาด,, -   , -   , 0.82 , -   , 0.85 , -   , 6.55 , -   , -   , -   
คอนกรีตหยาบ,, -   , -   , 0.84 , -   , 0.88 , -   , 4.94 , -   , -   , -   
หินก่อ,, 1.14 , -   , 0.36 , -   , 0.50 , -   , 4.41 , -   , -   , -   
หินเรียง,, 1.28 , -   , -   , -   , -   , -   , -   , -   , -   , -   
หินทิ้ง,, 1.10 , -   , -   , -   , -   , -   , -   , -   , -   , -   
หินเรียงยาแนว,, 1.28 , -   , -   , -   , 0.06 , -   , 0.31 , -   , -   , -   
ทรายหยาบ,,, -   , -   , -   , 1.40 , -   , -   , -   , -   , -   
หินคลุก,,, -   , -   , -   , -   , -   , -   , -   , 1.50 , -   
,,, -   ,, -   ,, -   ,, -   ,, -   
,, แผนจัดซื้อ ,, แผนจัดซื้อ ,, แผนจัดซื้อ ,, แผนจัดซื้อ ,, แผนจัดซื้อ ,
,, ผลต่าง , -   , ผลต่าง , -   , ผลต่าง , -   , ผลต่าง , -   , ผลต่าง , -   
,,,,,,,,,,,
